filename,question,average_bleu,average_rouge_l,average_bertscore
research_bench_result_4o_single_agent.jsonl,Question 1,0.141431,0.295093,0.272616
research_bench_result_4o_single_agent.jsonl,Question 2,0.168712,0.307852,0.359355
research_bench_result_4o_single_agent.jsonl,Question 3,0.123661,0.271995,0.277030
research_bench_result_4o_single_agent.jsonl,Question 4,0.145471,0.299192,0.321631
research_bench_result_4o_single_agent.jsonl,Question 5,0.133389,0.288125,0.252164
research_bench_result_4o.jsonl,Question 1,0.157528,0.322841,0.268748
research_bench_result_4o.jsonl,Question 2,0.129839,0.275555,0.349266
research_bench_result_4o.jsonl,Question 3,0.096410,0.234539,0.256221
research_bench_result_4o.jsonl,Question 4,0.131186,0.271402,0.280189
research_bench_result_4o.jsonl,Question 5,0.094924,0.246074,0.173778
research_bench_result_llama3.1_72b_single_agent.jsonl,Question 1,0.140946,0.296398,0.272587
research_bench_result_llama3.1_72b_single_agent.jsonl,Question 2,0.157548,0.293117,0.347288
research_bench_result_llama3.1_72b_single_agent.jsonl,Question 3,0.125329,0.273813,0.277581
research_bench_result_llama3.1_72b_single_agent.jsonl,Question 4,0.142818,0.292277,0.316502
research_bench_result_llama3.1_72b_single_agent.jsonl,Question 5,0.130376,0.288993,0.248455
research_bench_result_4o_mini_single_agent.jsonl,Question 1,0.141753,0.295952,0.273189
research_bench_result_4o_mini_single_agent.jsonl,Question 2,0.172224,0.310227,0.362681
research_bench_result_4o_mini_single_agent.jsonl,Question 3,0.127659,0.273868,0.276751
research_bench_result_4o_mini_single_agent.jsonl,Question 4,0.146153,0.298834,0.324194
research_bench_result_4o_mini_single_agent.jsonl,Question 5,0.135564,0.292718,0.256610
research_bench_result_4o_mini.jsonl,Question 1,0.113868,0.292267,0.275146
research_bench_result_4o_mini.jsonl,Question 2,0.134857,0.288133,0.379900
research_bench_result_4o_mini.jsonl,Question 3,0.118865,0.269544,0.313464
research_bench_result_4o_mini.jsonl,Question 4,0.136442,0.284240,0.322315
research_bench_result_4o_mini.jsonl,Question 5,0.136154,0.291589,0.279979
research_bench_result_llama3.1_72b.jsonl,Question 1,0.133167,0.301987,0.274997
research_bench_result_llama3.1_72b.jsonl,Question 2,0.118150,0.268984,0.340140
research_bench_result_llama3.1_72b.jsonl,Question 3,0.068852,0.207287,0.229777
research_bench_result_llama3.1_72b.jsonl,Question 4,0.095281,0.234449,0.245091
research_bench_result_llama3.1_72b.jsonl,Question 5,0.082427,0.232359,0.134076
